"09","13","01","293.47","1014","53","1","260","1","1","4.0"
"09","13","02","292.63","1014","56","1","0","1","1","0.3333333333333333"
"09","13","03","291.64","1014","60","2","250","1","50","2.3333333333333335"
"09","13","04","290.84","1013","77","2","240","75","4","3.0"
"09","13","05","291.12","1014","77","2","254","1","1","1.3333333333333333"
"09","13","06","289.68","1013","77","1","280","75","4","1.4"
"09","13","07","289.17","1013","88","2","230","40","50","1.2857142857142858"
"09","13","08","288.63","1014","72","1","258","1","50","0.2"
"09","13","09","289.13","1013","87","1","258","1","50","-0.6153846153846154"
"09","13","10","288.53","1013","87","2","230","40","50","0.0"
"09","13","11","287.89","1014","87","1","244","1","50","0.36363636363636365"
"09","13","12","290.33","1015","72","1","244","1","1","0.2727272727272727"
"09","13","13","292.56","1015","64","1","244","1","1","0.0"
"09","13","14","295.35","1014","60","2","270","1","1","0.45454545454545453"
"09","13","15","297.69","1014","53","1","236","1","1","-1.1"
"09","13","16","297.87","1013","50","1","236","1","1","-0.7692307692307693"
"09","13","17","299.05","1013","50","3","280","1","1","0.0"
"09","13","18","299.87","1013","51","2","300","1","1","0.5625"
"09","13","19","299.14","1012","54","2","210","75","10","0.4117647058823529"
"09","13","20","296.56","1012","69","3","270","90","50","-0.5714285714285714"
"09","13","21","295.69","1012","88","2","221","90","50","-0.15384615384615385"
"09","13","22","295.6","1011","73","2","0","90","50","0.18181818181818182"
"09","12","01","291.7","1022","45","1","332","1","1","4.0"
"09","12","02","290.87","1022","49","1","40","1","1","0.3333333333333333"
"09","12","03","290.16","1021","52","1","324","75","4","2.25"
"09","12","04","289.45","1021","55","1","324","1","50","0.0"
"09","12","05","289.22","1020","67","1","306","1","1","2.6666666666666665"
"09","12","06","288.29","1020","68","1","306","1","1","2.0"
"09","12","07","288.16","1018","67","2","260","40","3","1.125"
"09","12","08","287.38","1019","72","1","273","1","50","0.3076923076923077"
"09","12","09","287.76","1018","77","1","273","1","1","-0.6521739130434783"
"09","12","10","286.66","1018","87","1","20","75","4","0.0625"
"09","12","11","287.13","1018","82","1","344","1","1","-1.0833333333333333"
"09","12","12","287.71","1019","82","1","344","1","1","-0.6363636363636364"
"09","12","13","290.64","1018","68","1","0","1","1","-0.6"
"09","12","14","292.81","1019","72","2","0","1","1","0.0"
"09","12","15","295.42","1018","56","1","0","1","1","-0.2"
"09","12","16","295.42","1018","49","1","266","1","1","0.18181818181818182"
"09","12","17","297.78","1017","50","1","266","1","1","-0.4666666666666667"
"09","12","18","298.48","1017","44","1","266","1","1","0.0"
"09","12","19","298.81","1016","47","1","0","1","1","-0.4"
